Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
2018-05-03 15:19:06,05.05.2018,*7197,OK,-368.3,RUB,-368.3,RUB,,Супермаркеты,5411.0,Перекрёсток,7,0,368.3
2018-05-02 18:28:38,04.05.2018,*7197,OK,-221.27,RUB,-221.27,RUB,,Супермаркеты,5411.0,Пятёрочка,4,0,221.27
2018-05-01 22:06:23,03.05.2018,*7197,OK,-416.3,RUB,-416.3,RUB,,Супермаркеты,5411.0,Перекрёсток,8,0,416.3
2018-04-30 13:09:05,03.05.2018,*7197,OK,-116.16,RUB,-116.16,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,116.16
2018-04-29 18:57:14,02.05.2018,*7197,OK,-88.8,RUB,-88.8,RUB,,Супермаркеты,5411.0,Перекрёсток,1,0,88.8
2018-04-29 14:17:39,02.05.2018,*7197,OK,-220.27,RUB,-220.27,RUB,,Супермаркеты,5411.0,Перекрёсток,4,0,220.27
2018-04-28 18:17:43,04.05.2018,*7197,OK,-61.4,RUB,-61.4,RUB,,Супермаркеты,5411.0,Перекрёсток,1,0,61.4
2018-04-26 17:12:29,29.04.2018,*7197,OK,-463.3,RUB,-463.3,RUB,,Супермаркеты,5411.0,Перекрёсток,9,0,463.3
2018-04-24 14:35:40,26.04.2018,*7197,OK,-155.6,RUB,-155.6,RUB,,Супермаркеты,5411.0,Перекрёсток,3,0,155.6
2018-04-24 09:27:18,26.04.2018,*7197,OK,-108.92,RUB,-108.92,RUB,,Супермаркеты,5411.0,Billa,2,0,108.92
2018-04-23 17:22:05,25.04.2018,*7197,OK,-208.6,RUB,-208.6,RUB,,Супермаркеты,5411.0,Перекрёсток,4,0,208.6
2018-04-22 20:03:46,24.04.2018,*7197,OK,-342.5,RUB,-342.5,RUB,,Супермаркеты,5411.0,Перекрёсток,6,0,342.5
2018-04-21 12:49:14,23.04.2018,*7197,OK,-433.93,RUB,-433.93,RUB,,Супермаркеты,5411.0,SPAR,8,0,433.93
2018-04-19 12:26:41,21.04.2018,*7197,OK,-173.5,RUB,-173.5,RUB,,Супермаркеты,5499.0,Универсам Авоська,3,0,173.5
2018-04-19 10:12:40,21.04.2018,*7197,OK,-89.9,RUB,-89.9,RUB,,Супермаркеты,5411.0,Billa,1,0,89.9
2018-04-18 17:18:43,20.04.2018,*7197,OK,-215.18,RUB,-215.18,RUB,,Супермаркеты,5499.0,Универсам Авоська,4,0,215.18
2018-04-17 17:33:50,19.04.2018,*7197,OK,-132.7,RUB,-132.7,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,132.7
2018-04-17 09:21:41,19.04.2018,*7197,OK,-89.9,RUB,-89.9,RUB,,Супермаркеты,5411.0,Billa,1,0,89.9
2018-04-15 00:00:00,17.04.2018,*7197,OK,-703.82,RUB,-703.82,RUB,,Супермаркеты,5411.0,Перекрёсток,14,0,703.82
2018-04-13 13:37:59,16.04.2018,*7197,OK,-149.6,RUB,-149.6,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,149.6
2018-04-13 09:25:06,14.04.2018,*7197,OK,-89.9,RUB,-89.9,RUB,,Супермаркеты,5411.0,Billa,1,0,89.9
2018-04-12 18:39:59,14.04.2018,*7197,OK,-98.8,RUB,-98.8,RUB,,Супермаркеты,5499.0,Универсам Авоська,1,0,98.8
2018-04-10 16:04:19,13.04.2018,*7197,OK,-298.5,RUB,-298.5,RUB,,Супермаркеты,5411.0,Перекрёсток,5,0,298.5
2018-04-10 00:00:00,12.04.2018,*7197,OK,-38.9,RUB,-38.9,RUB,,Супермаркеты,5411.0,Пятёрочка,0,0,38.9
2018-04-09 23:02:48,11.04.2018,*7197,OK,-195.14,RUB,-195.14,RUB,,Супермаркеты,5411.0,Перекрёсток,3,0,195.14
2018-04-09 17:43:37,11.04.2018,*7197,OK,-79.8,RUB,-79.8,RUB,,Супермаркеты,5411.0,Billa,1,0,79.8
2018-04-08 18:41:24,11.04.2018,*7197,OK,-330.7,RUB,-330.7,RUB,,Супермаркеты,5411.0,Перекрёсток,6,0,330.7
2018-04-08 13:02:05,11.04.2018,*7197,OK,-120.7,RUB,-120.7,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,120.7
2018-04-07 10:32:59,09.04.2018,*7197,OK,-26.9,RUB,-26.9,RUB,,Супермаркеты,5411.0,Перекрёсток,0,0,26.9
2018-04-06 21:30:45,08.04.2018,*7197,OK,-155.7,RUB,-155.7,RUB,,Супермаркеты,5411.0,Перекрёсток,3,0,155.7
2018-04-06 18:50:58,08.04.2018,*7197,OK,-322.4,RUB,-322.4,RUB,,Супермаркеты,5411.0,Перекрёсток,6,0,322.4
2018-04-05 14:37:53,07.04.2018,*7197,OK,-209.6,RUB,-209.6,RUB,,Супермаркеты,5499.0,Универсам Авоська,4,0,209.6
2018-04-05 14:02:49,07.04.2018,*7197,OK,-343.4,RUB,-343.4,RUB,,Супермаркеты,5411.0,Перекрёсток,6,0,343.4
2018-04-05 09:24:04,07.04.2018,*7197,OK,-51.84,RUB,-51.84,RUB,,Супермаркеты,5411.0,Billa,1,0,51.84
2018-04-04 19:47:13,06.04.2018,*7197,OK,-45.56,RUB,-45.56,RUB,,Супермаркеты,5411.0,Billa,0,0,45.56
2018-04-04 14:33:15,06.04.2018,*7197,OK,-59.9,RUB,-59.9,RUB,,Супермаркеты,5411.0,Перекрёсток,1,0,59.9
2018-04-03 18:21:52,05.04.2018,*7197,OK,-42.2,RUB,-42.2,RUB,,Супермаркеты,5411.0,Billa,0,0,42.2
2018-04-03 09:57:30,04.04.2018,*7197,OK,-109.45,RUB,-109.45,RUB,,Супермаркеты,5411.0,Billa,2,0,109.45
2018-04-02 20:00:53,04.04.2018,*7197,OK,-38.0,RUB,-38.0,RUB,,Супермаркеты,5411.0,ВкусВилл,0,0,38.0
2018-04-02 19:15:17,04.04.2018,*7197,OK,-28.44,RUB,-28.44,RUB,,Супермаркеты,5411.0,Billa,0,0,28.44
2018-04-02 09:25:08,04.04.2018,*7197,OK,-133.54,RUB,-133.54,RUB,,Супермаркеты,5411.0,Billa,2,0,133.54
2018-03-28 08:23:56,30.03.2018,*7197,OK,-197.7,RUB,-197.7,RUB,,Супермаркеты,5411.0,Billa,3,0,197.7
2018-03-27 22:14:38,29.03.2018,*7197,OK,-70.42,RUB,-70.42,RUB,,Супермаркеты,5411.0,Перекрёсток,1,0,70.42
2018-03-27 18:11:05,29.03.2018,*7197,OK,-159.9,RUB,-159.9,RUB,,Супермаркеты,5411.0,Перекрёсток,3,0,159.9
2018-03-25 19:55:48,27.03.2018,*7197,OK,-731.08,RUB,-731.08,RUB,,Супермаркеты,5411.0,Перекрёсток,14,0,731.08
2018-03-24 15:49:54,26.03.2018,*7197,OK,-329.0,RUB,-329.0,RUB,,Супермаркеты,5499.0,Khlebnye Traditsii,6,0,329.0
2018-03-24 00:00:00,27.03.2018,*7197,OK,-49.8,RUB,-49.8,RUB,,Супермаркеты,5411.0,Billa,0,0,49.8
2018-03-23 16:58:53,26.03.2018,*7197,OK,-49.8,RUB,-49.8,RUB,,Супермаркеты,5411.0,Billa,0,0,49.8
2018-03-22 21:06:53,24.03.2018,*7197,OK,-224.25,RUB,-224.25,RUB,,Супермаркеты,5411.0,Перекрёсток,4,0,224.25
2018-03-22 08:34:27,23.03.2018,*7197,OK,-49.8,RUB,-49.8,RUB,,Супермаркеты,5411.0,Billa,0,0,49.8
2018-03-21 09:11:38,22.03.2018,*7197,OK,-122.9,RUB,-122.9,RUB,,Супермаркеты,5411.0,Billa,2,0,122.9
2018-03-19 20:04:09,21.03.2018,*7197,OK,-122.9,RUB,-122.9,RUB,,Супермаркеты,5411.0,Billa,2,0,122.9
2018-03-18 11:25:42,20.03.2018,*7197,OK,-722.05,RUB,-722.05,RUB,,Супермаркеты,5411.0,Перекрёсток,14,0,722.05
2018-03-16 09:36:23,17.03.2018,*7197,OK,-53.8,RUB,-53.8,RUB,,Супермаркеты,5411.0,Billa,1,0,53.8
2018-03-13 09:59:40,14.03.2018,*7197,OK,-35.9,RUB,-35.9,RUB,,Супермаркеты,5411.0,Billa,0,0,35.9
2018-03-09 20:55:43,11.03.2018,*7197,OK,-131.8,RUB,-131.8,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,131.8
2018-03-08 21:26:14,10.03.2018,*7197,OK,-437.7,RUB,-437.7,RUB,,Супермаркеты,5411.0,Перекрёсток,8,0,437.7
2018-03-05 23:12:38,07.03.2018,*7197,OK,-425.4,RUB,-425.4,RUB,,Супермаркеты,5411.0,Перекрёсток,8,0,425.4
2018-03-04 14:54:05,06.03.2018,*7197,OK,-583.91,RUB,-583.91,RUB,,Супермаркеты,5411.0,Перекрёсток,11,0,583.91
2018-03-04 14:09:38,05.03.2018,*7197,OK,-1055.0,RUB,-1055.0,RUB,,Супермаркеты,5499.0,Miramarkettreid,21,0,1055.0
2018-03-03 11:52:21,06.03.2018,*7197,OK,-164.6,RUB,-164.6,RUB,,Супермаркеты,5411.0,Billa,3,0,164.6
2018-02-28 22:52:20,01.03.2018,*7197,OK,-41.0,RUB,-41.0,RUB,,Супермаркеты,5411.0,Дикси,0,0,41.0
2018-02-27 18:52:54,01.03.2018,*7197,OK,-183.0,RUB,-183.0,RUB,,Супермаркеты,5411.0,Азбука Вкуса,3,0,183.0
2018-02-23 18:00:17,25.02.2018,*7197,OK,-35.24,RUB,-35.24,RUB,,Супермаркеты,5411.0,Магнит,0,0,35.24
2018-02-23 17:43:43,25.02.2018,*7197,OK,-1204.0,RUB,-1204.0,RUB,,Супермаркеты,5411.0,SPAR,24,0,1204.0
2018-02-23 10:27:51,25.02.2018,*7197,OK,-167.0,RUB,-167.0,RUB,,Супермаркеты,5411.0,SPAR,3,0,167.0
2018-02-22 19:11:19,24.02.2018,*7197,OK,-650.5,RUB,-650.5,RUB,,Супермаркеты,5411.0,SPAR,13,0,650.5
2018-02-21 22:21:21,23.02.2018,*7197,OK,-336.5,RUB,-336.5,RUB,,Супермаркеты,5411.0,SPAR,6,0,336.5
2018-02-20 18:30:51,22.02.2018,*7197,OK,-72.9,RUB,-72.9,RUB,,Супермаркеты,5411.0,Магнит,1,0,72.9
2018-02-18 11:15:39,20.02.2018,*7197,OK,-103.98,RUB,-103.98,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,103.98
2018-02-17 19:25:42,19.02.2018,*7197,OK,-155.7,RUB,-155.7,RUB,,Супермаркеты,5411.0,Перекрёсток,3,0,155.7
2018-02-17 14:20:30,19.02.2018,*7197,OK,-625.27,RUB,-625.27,RUB,,Супермаркеты,5411.0,Перекрёсток,12,0,625.27
2018-02-17 13:35:32,19.02.2018,*7197,OK,-220.0,RUB,-220.0,RUB,,Супермаркеты,5499.0,Miramarkettreid,4,0,220.0
2018-02-12 17:47:21,14.02.2018,*7197,OK,-98.41,RUB,-98.41,RUB,,Супермаркеты,5411.0,Billa,1,0,98.41
2018-02-11 15:05:38,13.02.2018,*7197,OK,-258.0,RUB,-258.0,RUB,,Супермаркеты,5499.0,Универсам Авоська,5,0,258.0
2018-02-10 18:17:50,12.02.2018,*7197,OK,-120.9,RUB,-120.9,RUB,,Супермаркеты,5411.0,Перекрёсток,2,0,120.9
2018-02-10 12:06:09,12.02.2018,*7197,OK,-236.04,RUB,-236.04,RUB,,Супермаркеты,5411.0,Перекрёсток,4,0,236.04
2018-02-08 09:13:42,09.02.2018,*7197,OK,-35.9,RUB,-35.9,RUB,,Супермаркеты,5411.0,Billa,0,0,35.9
2018-02-05 14:04:51,07.02.2018,*7197,OK,-50.6,RUB,-50.6,RUB,,Супермаркеты,5411.0,Магнит,1,0,50.6
2018-02-05 10:06:13,06.02.2018,*7197,OK,-71.8,RUB,-71.8,RUB,,Супермаркеты,5411.0,Billa,1,0,71.8
2018-02-04 20:41:28,06.02.2018,*7197,OK,-49.0,RUB,-49.0,RUB,,Супермаркеты,5499.0,Универсам Авоська,0,0,49.0
2018-02-04 17:37:00,05.02.2018,*7197,OK,-150.78,RUB,-150.78,RUB,,Супермаркеты,5411.0,Перекрёсток,3,0,150.78
2018-02-04 11:42:02,05.02.2018,*7197,OK,-191.0,RUB,-191.0,RUB,,Супермаркеты,5499.0,Универсам Авоська,3,0,191.0
